baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Barthea00029	15.6814827684583	-2.89738109173165	0.824332253959704	-3.51482193959293	0.000440048932779757	0.00613744464237697
Barthea00035	75.8897825520346	-1.65844842980248	0.546335586966392	-3.0355855803047	0.00240069082831184	0.0232279484956753
Barthea00042	119.720030691337	1.67119532362219	0.446343970105908	3.7441870744342	0.000180978776683034	0.00297980744575305
Barthea00049	985.499131935046	-1.26295122720609	0.462945871603766	-2.72807536403963	0.00637050516482242	0.0485660870159717
Barthea00060	481.659577611863	-0.883258079251622	0.322649121335828	-2.73751893572426	0.0061904556140838	0.0476093603302644
Barthea00088	1161.88974384068	-5.72186113665971	0.921183921800116	-6.21142097821077	5.25075944596443e-10	4.09569373386473e-08
Barthea00098	52.794955163952	8.23356975918003	1.27132036913715	6.47639254357905	9.39414619587843e-11	8.41619683025428e-09
Barthea00113	124.030736524384	-0.922077674235182	0.325905525891761	-2.82927904248368	0.00466530024382789	0.0386366194689481
Barthea00120	794.53499329874	-1.71533155012263	0.281831441541593	-6.08637397140617	1.15496492433878e-09	8.51575871677158e-08
Barthea00146	738.489962865606	1.62920330944723	0.286847439222221	5.67968573770353	1.34942443655896e-08	7.71195111162162e-07
Barthea00158	52.1283379650985	1.67638148199539	0.501174518922009	3.34490565402481	0.00082310564461649	0.0100567231843753
Barthea00170	81.5359678234465	-3.15339127217478	1.08234549481196	-2.91347937168864	0.00357425450902234	0.0316912935809208
Barthea00173	79.7991711970244	-1.3189061280306	0.41707611236906	-3.16226724311541	0.00156545826208387	0.0167113186471595
Barthea00175	237.402496084834	1.26462208077183	0.365027726537491	3.46445485872412	0.000531307302065239	0.00713442058489397
Barthea00186	97.1201860750411	-2.8748995722891	1.03002005153169	-2.79111029733254	0.00525275690970644	0.0420605713310917
Barthea00191	61.3578143968563	1.95534614222236	0.606085228055613	3.22619006652797	0.00125450018697413	0.0140839344414253
Barthea00192	17.0224999703259	2.4917989934384	0.724236524200501	3.44058730839231	0.000580453131620078	0.00765304438853863
Barthea00193	82.1235319272519	1.30550446098336	0.456097444199169	2.86233671682946	0.00420529880705879	0.0358697695375154
Barthea00199	276.957457995021	1.01034042717284	0.291142395275759	3.47026212453835	0.000519950670861311	0.00702878200226498
Barthea00212	200.704359768582	-3.25165343577043	0.8131425689031	-3.99887247344189	6.36449594561272e-05	0.00125137449480527
Barthea00219	111.018037460124	1.67954590541521	0.450587236309027	3.72746001234558	0.000193419236942387	0.00316017156031425
Barthea00230	223.767809912726	1.93755234189816	0.406659622642826	4.76455550050991	1.89270417535868e-06	6.2275824271472e-05
Barthea00243	126.571916131206	-1.19791143643573	0.367669604763708	-3.25811930307811	0.00112153245231503	0.0129472910673683
Barthea00256	46.6688416187266	-1.44578538798062	0.48765305073778	-2.96478282211762	0.00302896679123142	0.0279265257285112
Barthea00266	592.301289576404	-1.80947131549534	0.644673029240895	-2.80680474197283	0.00500355604141431	0.0405879706591739
Barthea00269	10.6128495318051	-3.27218284750826	0.946351175646832	-3.45768350239722	0.000544841049491836	0.00727986197245954
Barthea00300	59.4911630432534	-3.45300586487757	0.648438331852044	-5.32511064701438	1.00891605949761e-07	4.71820062314826e-06
Barthea00304	118.815757521668	-1.32832529280319	0.391619096522762	-3.3918807958998	0.000694146324750425	0.00880397267603958
Barthea00321	334.049387110998	-2.56005491681657	0.902092828308473	-2.83790629576001	0.00454105117179027	0.0379250046705634
Barthea00323	554.721107629774	1.5534229048967	0.484924634479299	3.2034316148214	0.00135800287484094	0.0149632141145209
Barthea00330	45.6099138219212	-2.15095225490067	0.67396513946885	-3.19148889005718	0.00141541554391109	0.0154316959125007
Barthea00331	6.40515478200664	6.15806196005196	1.69817945544563	3.62627279484782	0.000287541588954128	0.00436115536850283
Barthea00347	361.899025107243	-4.08968444065587	1.19035770439404	-3.43567687726083	0.000591075482965619	0.00775654592050206
Barthea00369	97.3052421724227	3.25605226302283	0.713032749989334	4.56648346527076	4.95974139997064e-06	0.000144275270889715
Barthea00370	557.12028631218	1.33416054539031	0.476706831299895	2.79870238434026	0.0051308404468157	0.0413212294670826
Barthea00383	163.986868229705	-0.79163683696401	0.291281484780142	-2.71777259567848	0.0065722991753434	0.0497757728546861
Barthea00385	4303.39044322601	-1.07449537872242	0.340519264317108	-3.1554613536396	0.00160244493896773	0.0170251874201923
Barthea00388	34.8195566584387	2.65203034948128	0.569305435383732	4.65836119708522	3.18736605476261e-06	9.86862263928606e-05
Barthea00394	406.726889585751	-2.8530287019124	0.608327502309572	-4.68995514929147	2.73264940066852e-06	8.62599211203214e-05
Barthea00414	86.6376475919591	-1.2534657127512	0.447615152030218	-2.80032011218999	0.00510519526629186	0.0411676917987749
Barthea00416	5451.28816764387	1.70430728940263	0.470208090145571	3.62458095707157	0.000289430349348387	0.00438322086410105
Barthea00441	113.956020898158	1.81770351482942	0.349606630842055	5.199282148772	2.0005964977316e-07	8.58111480794536e-06
Barthea00454	107.792385554136	-2.03038460237946	0.460642998956839	-4.40771835668277	1.04465263288769e-05	0.000275516903602005
Barthea00461	17.8063571056844	-1.95548293134939	0.696849347303345	-2.80617745990103	0.00501330742250224	0.0406507970665972
Barthea00463	1571.17636997292	-0.748718621496132	0.235978591628598	-3.17282434956865	0.00150963827928587	0.0163049812014289
Barthea00505	184.399418663382	1.33565026709569	0.371188914484051	3.59830322236922	0.00032030005737776	0.00474055817521919
Barthea00507	6.67891432902954	-6.15604093749969	1.76520598088008	-3.48743489665182	0.000487677638308277	0.00667953050028675
