	EHZ1	EHZ2	TJS1	TJS2	TJS3
Barthea00009	1.13565301165721	1.47440582142108	1.9569365999374	1.73632774907956	2.42970769450873
Barthea00010	-0.178007467246554	0.0958941981673546	0.965064480820796	0.768036608806895	1.01220193963914
Barthea00011	4.28329656572351	3.89438914330473	3.58472807264695	3.18698915808912	3.80251695839828
Barthea00012	1.32206613588809	0.747970894747048	0.420068387417285	0.725601342486498	0.753114718322007
Barthea00013	2.96417254371285	3.19061285542049	2.63398929268628	2.91217758447897	3.22751884389546
Barthea00014	4.0258648661191	3.87650426499243	4.1705694616322	4.3123571250307	4.09150405990854
Barthea00015	6.57497044490828	6.73768792148519	6.83334948973572	7.45291225051254	7.60803418218631
Barthea00016	3.11477428198129	2.86747798920314	-0.556472639758726	0.725601342486498	0.314230477088796
Barthea00017	3.477344361366	3.00553017051469	3.07804568543666	3.03889051909999	2.25700560839585
Barthea00019	0.57535256517032	-0.641071395998851	1.08924389204153	0.888330842524606	0.753114718322007
Barthea00020	2.00559247109283	1.40955467707112	3.50892177821228	3.50813509245806	3.07504281320937
Barthea00021	4.35982105788351	3.89438914330473	3.41117198692889	3.64535408903207	3.18432115449436
Barthea00022	5.88068010779268	6.01985830713481	5.7211522285118	5.45798395313034	5.59798766151866
Barthea00023	4.43586090992098	4.3042330832149	4.98818025638612	5.19381503448336	4.78671824855154
Barthea00024	1.20050415600718	0.521200032900026	1.38414881316234	1.45392801837883	1.01220193963914
Barthea00025	2.45426074825296	1.56652402340952	2.62375737007532	2.52369829668301	2.47342907193805
Barthea00028	4.63081884202772	3.89438914330473	5.16969057336811	5.94317931952023	5.55624010043766
Barthea00030	4.7628304602853	4.9764397985905	5.05252732207114	6.02528778735499	5.53919684208907
Barthea00031	6.13927592487455	6.19482862351582	6.2117116850182	6.72795456805455	6.6469384107294
Barthea00032	5.22701239826311	5.2109750163429	5.56280320383086	5.70868002440089	6.06495607021047
Barthea00033	3.82970062788871	3.01645973067295	3.90507281814449	3.80671707697095	3.67100032118846
Barthea00034	2.97348028593908	3.15148652413067	3.27396589541192	2.56037896000947	3.76782121713703
Barthea00035	1.20050415600718	1.30646118410701	2.68408790427665	2.61951408409681	3.11239622769174
Barthea00036	-0.178007467246554	0.988978994250843	0.37197409921624	0.492402166193467	0.248642135461219
Barthea00037	4.60410150365194	4.46446301817351	4.5459687649676	4.52833470680372	4.4788022440369
Barthea00039	3.71230024416636	3.14153686372307	4.48226938602021	4.49714008520013	4.72475249524515
Barthea00041	4.11687580462658	4.36535487316058	3.86654158024295	4.04105510321331	4.11008976030857
Barthea00042	2.9827283627411	3.54025836871571	1.30951001226959	1.95413290092035	1.16222738364375
Barthea00043	-0.552402982028052	0.392875935924486	-0.466274830787148	0.768036608806895	0.179929385377205
Barthea00044	7.1493206153834	4.01917923202654	5.5466459276371	2.67632043971528	6.93383912061684
Barthea00045	3.45758110654457	3.38023911024656	3.94260168386502	3.96100834701127	4.02450120458958
Barthea00046	5.64326541285599	5.49896710651124	5.76370920310076	5.44169134585993	4.98854046340523
Barthea00047	4.31659100582194	4.40748034883326	4.25916889348384	4.59467720163242	4.29201919799864
Barthea00048	6.05191000094211	6.22811849042444	5.70547060627953	5.95814755876297	5.77730067278944
Barthea00049	4.97232009686096	5.14527603222886	6.4896832273347	6.32262546048453	6.90818176103721
Barthea00053	4.517668256337	4.76265079005216	4.05728712526986	3.69568576458221	4.05359856147031
Barthea00054	1.46089384058541	1.595967801302	1.30951001226959	1.60202665736797	2.0607821200842
Barthea00056	4.72750847838575	5.07905068800394	4.52413001243167	4.49081939583078	4.90585670809096
Barthea00057	7.29378385475015	7.46819960415478	8.2777435216114	7.17545833113824	8.27474733556223
Barthea00059	3.90459781035448	3.61406960767731	4.30150835536885	3.97918427297572	3.86403653239634
Barthea00060	3.84499435811506	4.22635444491317	4.11686493432719	4.70527181341141	4.78960363959511
Barthea00061	7.02334634053177	7.43141216287781	7.19301837582194	7.71462508802424	7.38103724778563
