GeneName	RepeatName	r.squared	adjusted-r.squared	model-p.value	individual-p.vals
Barthea39274	TE_homo_68532	0.948233317585278	0.896466635170556	0.0517666824147218	TE_homo_68532 : 0.536513723711702 // ColorW : 0.0624910766060516
Barthea40943	TE_homo_70976	0.971735976426982	0.943471952853963	0.0282640235730184	TE_homo_70976 : 0.214660645706195 // ColorW : 0.147334781709427
Barthea41156	TE_homo_71260	0.242931884599767	-0.514136230800466	0.757068115400233	TE_homo_71260 : 0.804919891537843 // ColorW : 0.839721359914042
Barthea42890	TE_homo_75048	0.74613556971371	0.49227113942742	0.25386443028629	TE_homo_75048 : 0.710912269564146 // ColorW : 0.16347466424091
Barthea43059	TE_homo_75482 TE_homo_75483	0.4138868499664	-1.3444526001344	0.868649546289323	TE_homo_75482 : 0.771672548632553 // TE_homo_75483 : 0.712657447364187 // ColorW : 0.665317225070981
Barthea43264	TE_homo_75666	0.682320746345762	0.364641492691524	0.317679253654238	TE_homo_75666 : 0.539479417772897 // ColorW : 0.174191197320427
Barthea43604	TE_homo_75866	0.825418808723835	0.650837617447671	0.174581191276164	TE_homo_75866 : 0.677362746311718 // ColorW : 0.231317817920997
Barthea45290	TE_homo_79947	0.265854763258041	-0.468290473483919	0.734145236741959	TE_homo_79947 : 0.771543406612911 // ColorW : 0.484450635416172
Barthea09391	TE_homo_8249	0.968748664938583	0.937497329877166	0.0312513350614171	TE_homo_8249 : 0.0321854306623392 // ColorW : 0.0365877161614455
Barthea01828	TE_homo_824	0.942775878714689	0.885551757429377	0.0572241212853115	TE_homo_824 : 0.452563310979065 // ColorW : 0.0298721299025324
Barthea09639	TE_homo_8661 TE_homo_8662	0.886069952335464	0.544279809341857	0.421457272513136	TE_homo_8661 : 0.897722246999661 // TE_homo_8662 : 0.370044033874395 // ColorW : 0.318075886595845
Barthea01069	TE_struc_0	0.756423200241441	0.512846400482882	0.243576799758559	TE_struc_0 : 0.279056119366501 // ColorW : 0.666349202411477
Barthea10757	TE_struc_110	0.94408565666167	0.88817131332334	0.0559143433383301	TE_struc_110 : 0.571285713716874 // ColorW : 0.0381639828270622
Barthea08328	TE_struc_112	0.0144069658700192	-0.971186068259962	0.985593034129981	TE_struc_112 : 0.884505816163921 // ColorW : 0.929637252545452
Barthea07248	TE_struc_12	0.274286316290114	-0.451427367419772	0.725713683709886	TE_struc_12 : 0.977218368400259 // ColorW : 0.735019976163498
Barthea09917	TE_struc_132	0.54635687988282	0.0927137597656391	0.45364312011718	TE_struc_132 : 0.993274476135613 // ColorW : 0.31698469886018
Barthea07641	TE_struc_13	0.98710656348007	0.97421312696014	0.01289343651993	TE_struc_13 : 0.182426409903294 // ColorW : 0.0139809676726759
Barthea07910	TE_struc_14	0.9853214499862	0.9706428999724	0.0146785500138	TE_struc_14 : 0.0192622278795707 // ColorW : 0.52692276908406
Barthea08153	TE_struc_15	0.653804504403595	0.307609008807191	0.346195495596405	TE_struc_15 : 0.627154102998334 // ColorW : 0.262682244969479
Barthea12995	TE_struc_166	0.898488379935293	0.796976759870587	0.101511620064707	TE_struc_166 : 0.627770983670402 // ColorW : 0.0526328085507587
Barthea11827	TE_struc_177	0.313559327016472	-0.372881345967055	0.686440672983528	TE_struc_177 : 0.572903829393733 // ColorW : 0.912401210743179
Barthea13465	TE_struc_195 TE_struc_196	0.168245037912222	-2.32701984835111	0.969083062233847	TE_struc_195 : 0.856178141252694 // TE_struc_196 : 0.780812577641032 // ColorW : 0.988103155490711
Barthea14998	TE_struc_228	0.551687306656847	0.103374613313693	0.448312693343153	TE_struc_228 : 0.458222670718772 // ColorW : 0.416768692634988
Barthea15160	TE_struc_229	0.934558979969114	0.869117959938228	0.0654410200308861	TE_struc_229 : 0.790502204968497 // ColorW : 0.403664679768071
Barthea18388	TE_struc_281	0.968257769100638	0.936515538201276	0.0317422308993618	TE_struc_281 : 0.173500639810881 // ColorW : 0.896979453176413
Barthea19152	TE_struc_282	0.844952890020971	0.689905780041942	0.155047109979029	TE_struc_282 : 0.729479901428244 // ColorW : 0.226479387681732
Barthea19214	TE_struc_284	0.907352882503551	0.814705765007103	0.0926471174964486	TE_struc_284 : 0.624367162308245 // ColorW : 0.0565408352476897
Barthea18493	TE_struc_289	0.122957555423443	-0.754084889153114	0.877042444576557	TE_struc_289 : 0.678887681737159 // ColorW : 0.977241484477975
Barthea18861	TE_struc_292	0.933309907718899	0.866619815437797	0.0666900922811015	TE_struc_292 : 0.146380982127104 // ColorW : 0.0796321120690272
Barthea20380	TE_struc_325	0.988687646429773	0.977375292859545	0.0113123535702274	TE_struc_325 : 0.611791918205759 // ColorW : 0.00807895747665411
Barthea22169	TE_struc_363	0.17618739848023	-0.64762520303954	0.82381260151977	TE_struc_363 : 0.853581995693937 // ColorW : 0.770645806682398
Barthea23850	TE_struc_370	0.582782643068933	0.165565286137867	0.417217356931067	TE_struc_370 : 0.637833980225885 // ColorW : 0.498606128602971
Barthea00310	TE_struc_3	0.806177708370598	0.612355416741196	0.193822291629402	TE_struc_3 : 0.858596437447444 // ColorW : 0.222705027688935
Barthea25583	TE_struc_406	0.243289706453441	-0.513420587093119	0.756710293546559	TE_struc_406 : 0.51142331259282 // ColorW : 0.802976897472471
