superfamily	age
Gypsy	0.502
Gypsy	0.371
Gypsy	0.211
Gypsy	0.021
Gypsy	0.434
Gypsy	0.629
Gypsy	0.392
Gypsy	0.234
Gypsy	0.000
Gypsy	0.343
Gypsy	0.089
Gypsy	0.013
Gypsy	0.130
Gypsy	0.308
Gypsy	0.530
Gypsy	0.692
Gypsy	0.031
Gypsy	0.610
Gypsy	0.227
Gypsy	1.064
Gypsy	0.306
Gypsy	0.010
Gypsy	0.030
Gypsy	0.040
Gypsy	0.008
Gypsy	0.648
Gypsy	0.062
Gypsy	0.311
Gypsy	0.535
Gypsy	0.349
Gypsy	0.117
Gypsy	0.342
Gypsy	0.436
Gypsy	0.540
Gypsy	0.401
Gypsy	0.531
Gypsy	0.102
Gypsy	0.004
Gypsy	0.384
Gypsy	0.344
Gypsy	0.431
Gypsy	0.153
Gypsy	0.221
Gypsy	0.327
Gypsy	0.393
Gypsy	0.064
Gypsy	0.394
Gypsy	0.331
Gypsy	0.297
Gypsy	0.035
Gypsy	0.035
Gypsy	0.186
Gypsy	0.214
Gypsy	0.010
Gypsy	0.517
Gypsy	0.121
Gypsy	0.066
Gypsy	0.356
Gypsy	0.031
Gypsy	0.169
Gypsy	0.147
Gypsy	0.270
Gypsy	0.393
Gypsy	0.399
Gypsy	0.293
Gypsy	0.506
Gypsy	0.234
Gypsy	0.473
Gypsy	0.580
Gypsy	0.031
Gypsy	0.056
Gypsy	0.011
Gypsy	0.010
Gypsy	0.040
Gypsy	0.074
Gypsy	0.000
Gypsy	0.000
Gypsy	0.200
Gypsy	0.244
Gypsy	0.230
Gypsy	0.284
Gypsy	0.304
Gypsy	0.348
Gypsy	0.200
Gypsy	0.283
Gypsy	0.328
Gypsy	0.356
Gypsy	0.376
Gypsy	0.523
Gypsy	0.469
Gypsy	0.138
Gypsy	0.024
Gypsy	0.120
Gypsy	0.000
Gypsy	0.431
Gypsy	0.076
Gypsy	0.046
Gypsy	0.269
Gypsy	0.288
Gypsy	0.416
Gypsy	0.131
Gypsy	0.350
Gypsy	0.189
Gypsy	0.125
Gypsy	0.156
Gypsy	0.548
Gypsy	0.523
Gypsy	0.407
Gypsy	0.046
Gypsy	0.113
Gypsy	0.535
Gypsy	0.240
Gypsy	0.568
Gypsy	0.419
Gypsy	0.833
Gypsy	0.236
Gypsy	0.234
Gypsy	0.579
Gypsy	0.037
Gypsy	0.455
Gypsy	0.636
Gypsy	0.389
Gypsy	0.039
Gypsy	0.113
Gypsy	0.256
Gypsy	0.290
Gypsy	0.329
Gypsy	0.170
Gypsy	0.290
Gypsy	0.247
Gypsy	0.005
Gypsy	0.005
Gypsy	0.030
Gypsy	0.748
Gypsy	0.009
Gypsy	0.024
Gypsy	0.000
Gypsy	0.101
Gypsy	0.013
Gypsy	0.012
Gypsy	0.637
Gypsy	0.163
Gypsy	0.559
Gypsy	0.294
Gypsy	0.069
Gypsy	0.107
Gypsy	0.287
Gypsy	0.084
Gypsy	0.398
Gypsy	0.645
Gypsy	0.385
Gypsy	0.357
Gypsy	0.353
Gypsy	0.000
Gypsy	0.066
Gypsy	0.607
Gypsy	0.355
Gypsy	0.281
Gypsy	0.108
Gypsy	0.445
Gypsy	0.490
Gypsy	0.038
Gypsy	0.543
Gypsy	0.114
Gypsy	0.355
Gypsy	0.474
Gypsy	0.010
Gypsy	0.001
Gypsy	0.005
Gypsy	0.424
Gypsy	0.225
Gypsy	0.621
Gypsy	0.375
Gypsy	0.429
Gypsy	0.072
Gypsy	0.043
Gypsy	0.227
Gypsy	0.599
Gypsy	0.356
Gypsy	0.332
Gypsy	0.332
Gypsy	0.034
Gypsy	0.028
Gypsy	0.052
Gypsy	0.005
Gypsy	0.430
Gypsy	0.426
Gypsy	0.477
Gypsy	0.421
Gypsy	0.170
Gypsy	0.488
Gypsy	0.495
Gypsy	0.259
Gypsy	0.364
Gypsy	0.219
Gypsy	0.184
Gypsy	0.859
Gypsy	0.406
Gypsy	0.140
Gypsy	0.144
Gypsy	0.167
Gypsy	0.008
Gypsy	0.133
Gypsy	0.293
Gypsy	0.256
Gypsy	0.178
Gypsy	0.198
Gypsy	0.583
Gypsy	0.385
Gypsy	0.126
Gypsy	0.124
Gypsy	0.339
Gypsy	0.009
Gypsy	0.364
Gypsy	0.004
Unknown	0.000
Unknown	0.117
Unknown	0.554
Unknown	0.484
Unknown	0.337
Unknown	0.649
Unknown	0.192
Unknown	0.000
Unknown	0.046
Unknown	0.380
Unknown	0.435
Unknown	0.374
Unknown	0.479
Unknown	0.382
Unknown	0.582
Unknown	0.725
Unknown	0.620
Unknown	0.346
Unknown	0.513
Unknown	0.415
Unknown	0.360
Unknown	0.040
Unknown	0.516
Unknown	0.205
Unknown	0.054
Unknown	0.285
Unknown	0.250
Unknown	0.104
Unknown	0.272
Unknown	0.503
Unknown	0.136
Unknown	0.331
Unknown	0.399
Unknown	0.290
Unknown	0.208
Unknown	0.504
Unknown	0.460
Unknown	0.329
Unknown	0.625
Unknown	0.431
Unknown	0.479
Unknown	0.466
Unknown	0.630
Unknown	0.689
Unknown	0.685
Unknown	0.585
Unknown	0.713
Unknown	0.388
Unknown	0.727
Unknown	0.047
Unknown	0.555
Unknown	0.641
Unknown	0.703
Unknown	0.808
Unknown	0.015
Unknown	0.636
Unknown	0.425
Unknown	0.551
Unknown	0.646
Unknown	0.747
Unknown	0.020
Unknown	0.502
Unknown	0.277
Unknown	0.343
Unknown	0.370
Unknown	0.609
Unknown	0.258
Unknown	0.851
Unknown	0.172
Unknown	0.420
Unknown	0.468
Unknown	0.470
Unknown	0.606
Unknown	0.466
Unknown	0.470
Unknown	0.014
Unknown	0.605
Unknown	0.438
Unknown	0.438
Unknown	0.145
Unknown	0.493
Unknown	0.490
Unknown	0.548
Unknown	0.513
Unknown	0.474
Unknown	0.519
Unknown	0.331
Unknown	0.341
Unknown	0.564
Unknown	0.354
Unknown	0.452
Unknown	0.490
Unknown	0.356
Unknown	0.454
Unknown	0.360
Unknown	0.378
Unknown	0.044
Unknown	0.518
Unknown	0.796
Unknown	0.617
Unknown	0.185
Unknown	0.172
